Threshold probability,Model net benefit,Treat-all net benefit,Treat-none net benefit
0.05,0.47368,0.47368,0.0
0.075,0.45946,0.45946,0.0
0.1,0.44444,0.44444,0.0
0.125,0.42857,0.42857,0.0
0.15,0.41176,0.41176,0.0
0.175,0.39394,0.39394,0.0
0.2,0.375,0.375,0.0
0.225,0.35484,0.35484,0.0
0.25,0.33333,0.33333,0.0
0.275,0.31034,0.31034,0.0
0.3,0.28571,0.28571,0.0
0.325,0.27263,0.25926,0.0
0.35,0.2906,0.23077,0.0
0.375,0.28333,0.2,0.0
0.4,0.27778,0.16667,0.0
0.425,0.25362,0.13043,0.0
0.45,0.2399,0.09091,0.0
0.475,0.21825,0.04762,0.0
0.5,0.25,0.0,0.0
0.525,0.22953,-0.05263,0.0
0.55,0.24074,-0.11111,0.0
0.575,0.14542,-0.17647,0.0
0.6,0.18056,-0.25,0.0
0.625,0.12037,-0.33333,0.0
0.65,0.0873,-0.42857,0.0
0.675,0.05342,-0.53846,0.0
0.7,-0.00926,-0.66667,0.0
0.725,0.02778,-0.81818,0.0
0.75,0.0,-1.0,0.0
0.775,0.0,-1.22222,0.0
0.8,0.0,-1.5,0.0
