Epoch,train_loss,val_loss
0,2.30168,2.60009
1,2.31659,2.60217
2,2.25331,2.60163
3,2.30417,2.60177
4,2.25612,2.60136
5,2.30767,2.59995
6,2.24135,2.59953
7,2.24882,2.59969
8,2.32741,2.59932
9,2.22661,2.59816
10,2.27789,2.59806
11,2.28823,2.59607
12,2.22716,2.59678
13,2.18664,2.59892
14,2.17538,2.60373
15,2.28522,2.60724
16,2.23436,2.60682
17,2.27289,2.60769
18,2.33657,2.60571
19,2.29553,2.60314
20,2.2392,2.60157
21,2.22697,2.59804
22,2.15439,2.59661
23,2.18829,2.59564
24,2.22104,2.59474
25,2.21103,2.59421
26,2.24374,2.59049
27,2.14001,2.58845
28,2.24434,2.58703
29,2.22472,2.58611
30,2.21399,2.58563
31,2.22993,2.58548
32,2.23507,2.58367
33,2.13269,2.58084
34,2.12302,2.57874
35,2.18771,2.5784
36,2.19111,2.57743
37,2.20235,2.57477
38,2.17169,2.57427
39,2.15921,2.57566
40,2.17496,2.57824
41,2.13878,2.58218
42,2.12321,2.58418
43,2.1977,2.58446
44,2.16726,2.58452
45,2.19034,2.58713
46,2.15901,2.58579
47,2.17042,2.58468
48,2.18037,2.58163
49,2.22551,2.58016
50,2.13689,2.57964
51,2.13781,2.57851
52,2.17466,2.57738
53,2.14056,2.57633
54,2.10077,2.5768
55,2.13799,2.5757
56,2.16074,2.57567
57,2.19905,2.57618
58,2.20418,2.57387
59,2.22652,2.57062
60,2.13463,2.56942
61,2.16205,2.56884
62,2.15495,2.5679
63,2.14541,2.56967
64,2.1771,2.57201
65,2.19816,2.57338
66,2.19039,2.57596
67,2.15935,2.58052
68,2.13306,2.58301
69,2.1107,2.5841
70,2.13103,2.58225
71,2.18675,2.58081
72,2.12737,2.57544
73,2.08368,2.57212
74,2.12377,2.57082
75,2.11295,2.56947
76,2.07839,2.56952
77,2.26903,2.569
78,2.13196,2.56696
79,2.01729,2.56633
80,2.03285,2.56858
81,2.10849,2.57112
82,2.11709,2.57112
83,2.15797,2.56964
84,2.14213,2.56871
85,2.08559,2.56762
86,2.0931,2.56745
87,2.07741,2.56859
88,2.11856,2.5699
89,2.07597,2.56994
90,2.03501,2.56997
91,2.14188,2.56947
92,2.10382,2.56628
93,2.15263,2.56488
94,2.21303,2.56233
95,2.08281,2.56098
96,2.06565,2.56108
97,2.08955,2.56178
98,2.09451,2.56058
99,2.14771,2.56202
100,2.06262,2.5638
101,2.14101,2.5636
102,2.12449,2.56426
103,2.07055,2.56369
104,2.03843,2.56227
105,2.05901,2.56117
106,2.00488,2.55992
107,2.11371,2.55909
108,1.97555,2.55894
109,2.10748,2.5594
110,2.1478,2.55597
111,2.06464,2.55342
112,2.13891,2.55571
113,2.09129,2.55862
114,2.06559,2.5585
115,2.04565,2.55804
116,2.04496,2.55722
117,2.0356,2.55968
118,1.99668,2.56324
119,2.07473,2.5663
120,2.04002,2.57048
121,2.27034,2.57404
122,2.13633,2.57459
123,2.06966,2.57748
124,2.10566,2.57802
125,2.19054,2.57606
126,2.06032,2.57604
127,2.15925,2.57337
128,2.03108,2.56928
129,2.03719,2.56393
130,2.05799,2.56026
131,2.07054,2.55901
132,2.1136,2.55897
133,2.09172,2.56049
134,2.10717,2.5614
135,2.06037,2.56256
136,1.99085,2.56407
